Ciudad,Subregion,Fecha,Categoria,Venta
Bogota,Norte,1/7/2023,Tecnologia,2459
Bogota,Norte,1/15/2023,Tecnologia,2130
Bogota,Norte,1/8/2023,Tecnologia,2724
Bogota,Norte,1/21/2023,Tecnologia,2638
Bogota,Norte,1/26/2023,Servicios,1466
Bogota,Norte,1/23/2023,Servicios,1330
Bogota,Norte,1/11/2023,Servicios,1087
Bogota,Norte,1/21/2023,Servicios,2123
Bogota,Norte,1/8/2023,Mano de Obra,2687
Bogota,Norte,1/3/2023,Mano de Obra,2685
Bogota,Norte,1/21/2023,Mano de Obra,1769
Bogota,Norte,1/24/2023,Mano de Obra,2515
Bogota,Norte,1/6/2023,Logistica,1385
Bogota,Norte,1/28/2023,Logistica,1276
Bogota,Norte,1/1/2023,Logistica,1459
Bogota,Norte,1/26/2023,Logistica,1021
Bogota,Norte,1/12/2023,Mantenimiento,1856
Bogota,Norte,1/17/2023,Mantenimiento,1474
Bogota,Norte,1/27/2023,Mantenimiento,1510
Bogota,Norte,1/10/2023,Mantenimiento,2499
Bogota,Norte,1/28/2023,Marketing,1975
Bogota,Norte,1/15/2023,Marketing,1189
Bogota,Norte,1/15/2023,Marketing,1957
Bogota,Norte,1/19/2023,Marketing,2899
Bogota,Centro,1/23/2023,Tecnologia,2267
Bogota,Centro,1/25/2023,Tecnologia,2154
Bogota,Centro,1/5/2023,Tecnologia,2842
Bogota,Centro,1/7/2023,Tecnologia,1020
Bogota,Centro,1/9/2023,Servicios,1166
Bogota,Centro,1/18/2023,Servicios,1387
Bogota,Centro,1/25/2023,Servicios,1315
Bogota,Centro,1/14/2023,Servicios,1241
Bogota,Centro,1/26/2023,Mano de Obra,1776
Bogota,Centro,1/26/2023,Mano de Obra,1564
Bogota,Centro,1/2/2023,Mano de Obra,2363
Bogota,Centro,1/28/2023,Mano de Obra,2390
Bogota,Centro,1/28/2023,Logistica,2478
Bogota,Centro,1/12/2023,Logistica,1508
Bogota,Centro,1/8/2023,Logistica,2966
