Ciudad,Subregion,Fecha,Categoria,Venta
Bogota,Norte,1/7/2023,Tecnologia,2459.0
Bogota,Norte,1/15/2023,Tecnologia,2130.0
Bogota,Norte,1/8/2023,Tecnologia,2724.0
Bogota,Norte,1/21/2023,Tecnologia,2638.0
Bogota,Norte,1/26/2023,Servicios,1466.0
Bogota,Norte,1/23/2023,Servicios,1330.0
Bogota,Norte,1/11/2023,Servicios,1087.0
Bogota,Norte,1/21/2023,Servicios,2123.0
Bogota,Norte,1/8/2023,Mano de Obra,2687.0
Bogota,Norte,1/3/2023,Mano de Obra,2685.0
Bogota,Norte,1/21/2023,Mano de Obra,1769.0
Bogota,Norte,1/24/2023,Mano de Obra,2515.0
Bogota,Norte,1/6/2023,Logistica,1385.0
Bogota,Norte,1/28/2023,Logistica,1276.0
Bogota,Norte,1/1/2023,Logistica,1459.0
Bogota,Norte,1/26/2023,Logistica,1021.0
Bogota,Norte,1/12/2023,Mantenimiento,1856.0
Bogota,Norte,1/17/2023,Mantenimiento,1474.0
Bogota,Norte,1/27/2023,Mantenimiento,1510.0
Bogota,Norte,1/10/2023,Mantenimiento,2499.0
Bogota,Norte,1/28/2023,Marketing,1975.0
Bogota,Norte,1/15/2023,Marketing,1189.0
Bogota,Norte,1/15/2023,Marketing,1957.0
Bogota,Norte,1/19/2023,Marketing,2899.0
Bogota,Centro,1/23/2023,Tecnologia,2267.0
Bogota,Centro,1/25/2023,Tecnologia,2154.0
Bogota,Centro,1/5/2023,Tecnologia,2842.0
Bogota,Centro,1/7/2023,Tecnologia,1020.0
Bogota,Centro,1/9/2023,Servicios,1166.0
Bogota,Centro,1/18/2023,Servicios,1387.0
Bogota,Centro,1/25/2023,Servicios,1315.0
Bogota,Centro,1/14/2023,Servicios,1241.0
Bogota,Centro,1/26/2023,Mano de Obra,1776.0
Bogota,Centro,1/26/2023,Mano de Obra,1564.0
Bogota,Centro,1/2/2023,Mano de Obra,2363.0
Bogota,Centro,1/28/2023,Mano de Obra,2390.0
Bogota,Centro,1/28/2023,Logistica,2478.0
Bogota,Centro,1/12/2023,Logistica,1508.0
Bogota,Centro,1/8/2023,Logistica,2966.0
Bogota,Centro,1/3/2023,Logistica,1205.0
Bogota,Centro,1/17/2023,Mantenimiento,2955.0
Bogota,Centro,1/18/2023,Mantenimiento,2895.0
Bogota,Centro,1/4/2023,Mantenimiento,2025.0
Bogota,Centro,1/6/2023,Mantenimiento,1565.0
Bogota,Centro,1/10/2023,Marketing,2795.0
Bogota,Centro,1/22/2023,Marketing,2500.0
Bogota,Centro,1/18/2023,Marketing,1729.0
Bogota,Centro,1/12/2023,Marketing,1161.0
Bogota,Sur,1/10/2023,Tecnologia,2981.0
Bogota,Sur,1/4/2023,Tecnologia,1269.0
Bogota,Sur,1/16/2023,Tecnologia,2294.0
Bogota,Sur,1/8/2023,Tecnologia,2485.0
Bogota,Sur,1/23/2023,Servicios,2275.0
Bogota,Sur,1/25/2023,Servicios,2725.0
Bogota,Sur,1/8/2023,Servicios,2748.0
Bogota,Sur,1/16/2023,Servicios,2772.0
Bogota,Sur,1/18/2023,Mano de Obra,1878.0
Bogota,Sur,1/21/2023,Mano de Obra,1791.0
Bogota,Sur,1/26/2023,Mano de Obra,1216.0
Bogota,Sur,1/28/2023,Mano de Obra,1187.0
Bogota,Sur,1/28/2023,Logistica,1492.0
Bogota,Sur,1/9/2023,Logistica,2180.0
Bogota,Sur,1/15/2023,Logistica,2836.0
Bogota,Sur,1/1/2023,Logistica,2880.0
Bogota,Sur,1/7/2023,Mantenimiento,1520.0
Bogota,Sur,1/24/2023,Mantenimiento,2152.0
Bogota,Sur,1/12/2023,Mantenimiento,1647.0
Bogota,Sur,1/24/2023,Mantenimiento,2086.0
Bogota,Sur,1/11/2023,Marketing,2522.0
Bogota,Sur,1/17/2023,Marketing,1391.0
Bogota,Sur,1/3/2023,Marketing,1418.0
Bogota,Sur,1/1/2023,Marketing,1378.0
Medellin,Norte,1/5/2023,Tecnologia,2513.0
Medellin,Norte,1/7/2023,Tecnologia,2017.0
Medellin,Norte,1/9/2023,Tecnologia,2051.0
Medellin,Norte,1/7/2023,Tecnologia,1200.0
Medellin,Norte,1/8/2023,Servicios,1779.0
Medellin,Norte,1/2/2023,Servicios,2056.0
Medellin,Norte,1/16/2023,Servicios,1502.0
Medellin,Norte,1/23/2023,Servicios,2597.0
Medellin,Norte,1/24/2023,Mano de Obra,1804.0
Medellin,Norte,1/3/2023,Mano de Obra,1683.0
Medellin,Norte,1/8/2023,Mano de Obra,1725.0
Medellin,Norte,1/27/2023,Mano de Obra,2570.0
Medellin,Norte,1/1/2023,Logistica,2762.0
Medellin,Norte,1/5/2023,Logistica,2966.0
Medellin,Norte,1/14/2023,Logistica,1642.0
Medellin,Norte,1/1/2023,Logistica,2028.0
Medellin,Norte,1/26/2023,Mantenimiento,1502.0
Medellin,Norte,1/14/2023,Mantenimiento,1870.0
Medellin,Norte,1/27/2023,Mantenimiento,1392.0
Medellin,Norte,1/15/2023,Mantenimiento,2038.0
Medellin,Norte,1/26/2023,Marketing,2577.0
Medellin,Norte,1/28/2023,Marketing,2484.0
Medellin,Norte,1/19/2023,Marketing,2598.0
Medellin,Norte,1/7/2023,Marketing,2264.0
Medellin,Centro,1/20/2023,Tecnologia,2020.0
Medellin,Centro,1/4/2023,Tecnologia,2757.0
Medellin,Centro,1/5/2023,Tecnologia,2430.0
Medellin,Centro,1/7/2023,Tecnologia,1748.0
Medellin,Centro,1/15/2023,Servicios,2194.0
Medellin,Centro,1/4/2023,Servicios,1524.0
Medellin,Centro,1/7/2023,Servicios,2722.0
Medellin,Centro,1/19/2023,Servicios,2109.0
Medellin,Centro,1/28/2023,Mano de Obra,1577.0
Medellin,Centro,1/10/2023,Mano de Obra,1556.0
Medellin,Centro,1/25/2023,Mano de Obra,2012.0
Medellin,Centro,1/6/2023,Mano de Obra,1795.0
Medellin,Centro,1/28/2023,Logistica,2643.0
Medellin,Centro,1/12/2023,Logistica,2363.0
Medellin,Centro,1/11/2023,Logistica,2663.0
Medellin,Centro,1/26/2023,Logistica,2371.0
Medellin,Centro,1/25/2023,Mantenimiento,2254.0
